Model,Accuracy,Precision,Recall,F1,AUC
ExtraTrees,0.8463227222832053,0.38461538461538464,0.7142857142857143,0.5,0.8765343775886739
RandomForest,0.8693743139407245,0.4304635761589404,0.6632653061224489,0.5220883534136547,0.8848055827497051
SVM,0.8364434687156971,0.34545454545454546,0.5816326530612245,0.43346007604562736,0.859640535180862
LogisticRegression,0.70801317233809,0.2558139534883721,0.8979591836734694,0.39819004524886875,0.8777392875969575
Ensemble,0.8594950603732162,0.4074074074074074,0.673469387755102,0.5076923076923077,0.8821698421065844
